Cook 001,1989,105000,-30.33333,130.53333,Found
Chico,1954,104800,36.5,-104.2,Found
Juncal,1866,104000,-26,-69.25,Found
Molong,1912,104000,-33.28333,148.88333,Found
Colby (Wisconsin),1917,104000,44.9,-90.28333,Fell
Udei Station,1927,103000,7.95,8.08333,Fell
Rifle,1948,102700,38.51667,-107.83333,Found
Seel�_sgen,1847,102000,52.26667,15.55,Found
Sevrukovo,1874,101000,50.61667,36.6,Fell
Lutschaunig's Stone,1861,100000,-27,-70,Found
Pierceville (iron),1917,100000,37.86667,-100.66667,Found
Dimitrovgrad,1949,100000,43.04639,22.86389,Found
Paranaiba,1956,100000,-19.13333,-51.66667,Fell
Budulan,1962,100000,50.56667,114.9,Found
Faucett,1966,100000,39.61667,-94.86667,Found
Murchison,1969,100000,-36.61667,145.2,Fell
Retuerta del Bullaque,1980,100000,39.45889,-4.3775,Found
Anyujskij,1981,100000,66.9,164.2,Found
Kidairat,1983,100000,14,28,Fell
Gujba,1984,100000,11.49167,11.65833,Fell
Cook 007,1989,100000,-30.61667,130.41667,Found
Juancheng,1997,100000,35.5,115.41667,Fell
Franconia,2002,100000,34.71637,-114.22197,Found
Chergach,2007,100000,23.69639,-5.01472,Fell
Tamdakht,2008,100000,31.16333,-7.015,Fell
Bou Azarif,2010,100000,31.15643,-5.15262,Found
Social Circle,1927,99300,33.7,-83.7,Found
Steinbach,1724,98000,50.5,12.5,Found
Palmas de Monte Alto,1954,97000,-14.3675,-43.02278,Found
DaG 749,1999,95000,27.30167,15.7645,Found
Loreto,1896,94800,26.01667,-111.36667,Found
Weekeroo Station,1924,94200,-32.26667,139.86667,Found
Carver,1935,94000,32,-86,Found
Concho,1939,93500,32,-101.5,Found
Machinga,1981,93200,-15.21222,35.24222,Fell
Watson 001,1972,93000,-30.5,131.55,Found
Wiltshire,,92750,51.14967,-1.81,Found
JaH 090,2002,92668,19.71678,56.6062,Found
Karee Kloof,1914,92100,-31.6,25.8,Found
Laguna Manantiales,1945,92000,-48.58333,-67.41667,Found
Juvinas,1821,91000,44.71667,4.3,Fell
Fair Play,1928,91000,37.66667,-93.55,Found
Richardton,1918,90000,46.88333,-102.31667,Fell
ad-Dahbubah,1961,90000,19.83333,51.25,Found
Mincy,1857,89400,36.55,-93.1,Found
Farmington,1890,89400,39.75,-97.03333,Fell
Bennett County,1934,89000,43.5,-101.25,Found
San Angelo,1897,88000,31.41667,-100.35,Found
Mills,1970,88000,36.23,-104.11889,Found
Wagon Mound,1932,87500,35.84083,-104.58583,Found
Roebourne,1892,86860,-22.33333,118,Found
Bath Furnace,1902,86000,38.25,-83.75,Fell
Tulia (a),1917,86000,34.61667,-101.95,Found
Apoala,1889,85000,17.7,-97,Found
Kayakent,1961,85000,39.26333,31.78,Fell
Juanita de Angeles,1992,85000,28.41667,-105.08333,Found
Gan Gan,1984,83000,-42.66667,-68.08333,Found
Bruceville,1998,83000,38.295,-121.405,Found
Ness County (1894),1894,82000,38.5,-99.6,Found
Gretna,1912,82000,39.93333,-99.21667,Found
Renfrow,1986,81600,36.98667,-97.555,Found
Carlton,1887,81200,31.91667,-98.03333,Found
Ainsworth,1907,80650,42.6,-99.8,Found
Kernouve,1869,80000,48.11667,-3.08333,Fell
Soko-Banja,1877,80000,43.66667,21.86667,Fell
Unter-M�_ssing,1920,80000,49.09028,11.33333,Found
Vera,1941,80000,-29.91667,-60.28333,Found
Baygorria,1994,80000,-33,-56,Found
Mrirt,1937,79900,33.13333,-5.56667,Found
Belle Plaine,1950,78800,37.31667,-97.25,Found
Finmarken,1902,78300,70,24,Found
Parnallee,1857,77600,9.23333,78.35,Fell
Moorumbunna,1943,77000,-28.91667,136.25,Found
JaH 230,2005,77000,19.7127,56.58277,Found
Augusta County,1858,76000,38.16667,-79.08333,Found
Northbranch,1972,76000,39.99167,-98.34167,Found
Tawallah Valley,1939,75750,-15.7,135.66667,Found
Xingyang,1977,75500,32.33333,114.31667,Fell
Acme,1947,75000,33.63333,-104.26667,Found
Bayard,1982,75000,41.81667,-103.36667,Found
Wolsey,1981,74830,44.4,-98.53333,Found
Walker County,1832,74800,34,-87.16667,Found
Tilden,1927,74800,38.2,-89.68333,Fell
Hunter,1962,74600,36.56,-97.66667,Found
Ethiudna,1977,74318,-32.03333,139.78333,Found
